Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
6/9,8550,2077,3084,4909,89,20,1013,268,28,587,1,94,178,1,806,0,230,19,182,31,172,90,40,37,2,39,56,10,3,15,450,3,780,14,177,4,117,426,21,19,288,303
6/10,8550,2078,3075,4988,89,19,1041,268,28,595,1,101,178,1,826,0,235,19,182,31,170,90,42,37,2,39,56,10,3,14,452,3,778,15,172,4,118,428,21,20,137,287
6/11,8611,2097,3107,5129,89,20,1075,271,28,604,1,102,178,1,847,0,241,20,182,31,173,92,42,38,2,39,57,11,3,15,454,3,791,15,183,4,118,436,27,34,392,293
6/12,8694,2111,3129,5265,90,20,1106,272,29,611,1,105,180,1,872,0,253,20,182,31,176,92,45,38,2,39,57,11,3,15,457,3,804,15,187,4,118,440,27,33,367,299
6/13,8722,2134,3136,5384,91,20,1132,273,29,617,1,107,185,1,896,0,259,20,182,31,176,92,45,38,2,40,57,12,3,15,461,3,820,15,190,4,118,448,27,48,296,295
6/14,8785,2143,3152,5450,93,20,1171,273,29,620,1,109,183,1,946,0,264,20,182,32,178,92,46,39,2,40,58,12,3,15,463,3,833,15,190,4,120,453,27,91,324,299
6/15,8850,2161,3171,5597,100,20,1218,273,29,629,1,118,183,1,1005,0,268,20,183,32,178,92,49,40,2,40,58,12,3,16,464,3,846,15,197,4,122,455,29,47,373,312
6/16,8885,2179,3187,5651,101,20,1236,276,32,630,1,120,184,1,1044,0,310,21,184,32,180,92,49,41,2,41,61,12,3,16,469,3,870,16,197,4,124,457,28,25,253,307
6/17,8963,2199,3200,5777,101,20,1268,279,32,638,1,124,189,1,1081,0,328,21,184,32,182,92,52,43,2,41,62,12,3,16,474,3,880,16,201,4,127,467,30,47,408,319
6/18,9061,2230,3208,5915,102,20,1313,278,33,635,2,130,186,1,1113,0,348,22,186,33,185,94,51,47,2,41,63,12,3,16,479,5,902,16,209,4,129,474,28,25,409,329
6/19,9154,2258,3226,6129,102,20,1360,280,33,642,2,136,188,1,1193,0,354,24,188,33,189,95,51,47,2,42,63,12,3,17,482,5,954,16,212,4,132,486,28,62,624,342
6/20,9211,2281,3237,6283,102,20,1426,285,33,647,2,145,193,1,1278,0,373,24,188,33,190,98,51,49,2,42,63,12,3,18,485,5,974,17,211,4,135,499,30,30,455,354
6/21,9253,2288,3249,6326,108,20,1437,286,33,654,2,145,196,1,1306,0,376,23,187,33,191,99,52,49,2,43,63,13,3,19,485,3,985,17,216,4,140,499,28,36,190,345
6/22,9366,2321,3329,6435,109,20,1463,289,33,660,8,149,195,1,1335,0,405,23,187,33,195,100,53,50,2,43,63,13,3,19,486,4,1021,16,221,4,144,521,31,36,516,359
6/23,9453,2361,3346,6490,109,20,1524,293,33,671,8,153,205,1,1406,0,414,24,188,35,198,109,55,52,2,43,63,13,3,20,488,3,1069,16,226,4,144,554,30,43,483,373
6/24,9573,2400,3371,6607,110,20,1556,296,33,681,8,158,208,1,1451,0,438,24,191,36,200,112,55,53,2,46,63,12,3,19,491,3,1098,16,224,5,147,574,33,49,498,399
6/25,9672,2421,3406,6759,112,20,1581,305,34,685,8,166,216,1,1491,0,447,24,191,36,205,113,56,57,2,45,64,12,3,19,493,4,1144,16,224,5,148,588,33,49,488,406
6/26,9809,2465,3431,6828,113,20,1657,314,35,692,8,170,223,1,1555,0,457,25,192,37,211,117,57,60,3,46,67,12,3,19,502,4,1179,16,230,5,152,599,37,53,549,419
6/27,9895,2485,3438,6920,130,21,1686,315,36,697,8,170,230,1,1578,0,472,26,192,37,213,122,59,64,3,47,67,13,3,19,503,4,1193,17,237,5,158,600,37,51,348,423
6/28,10019,2510,3463,7008,130,21,1718,325,36,700,8,172,233,1,1610,0,487,26,192,38,212,127,60,64,3,47,70,13,4,19,512,4,1236,17,241,5,161,615,37,109,501,435
6/29,10177,2564,3508,7071,134,21,1731,330,36,731,8,179,233,1,1640,0,511,27,192,38,221,128,59,65,4,50,77,17,4,19,519,5,1344,18,253,5,166,622,38,78,571,450
