Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
6/12,591,88,156,117,0,2,73,6,0,27,0,0,3,0,25,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,0,9,7
6/13,591,89,156,120,0,2,73,6,0,27,0,0,3,0,25,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,0,4,7
6/14,592,89,156,121,0,2,73,6,0,27,0,0,3,0,26,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,1,4,7
6/15,595,89,158,124,0,2,74,6,0,27,0,0,3,0,26,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,5,0,3,39,0,0,10,7
6/16,591,89,159,122,0,2,74,6,0,27,0,0,3,0,26,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,5,0,3,39,0,0,-5,7
6/17,597,89,160,128,0,2,75,6,0,28,0,0,3,0,28,0,5,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,37,1,5,0,3,39,0,0,19,8
6/18,600,89,162,131,0,2,75,6,0,29,0,0,3,0,29,0,4,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,37,1,6,0,3,39,0,0,10,8
6/19,601,92,163,136,0,2,76,6,0,29,0,0,3,0,29,0,4,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,38,1,4,0,3,39,0,0,10,8
6/20,600,93,163,138,0,2,76,6,0,30,0,0,3,0,29,0,5,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,38,1,5,0,3,39,0,0,5,8
6/21,602,92,164,138,0,2,76,6,0,30,0,0,3,0,29,0,5,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,39,1,7,0,3,40,0,0,6,8
6/22,604,93,164,142,0,2,76,6,0,30,0,0,3,0,30,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,38,1,7,0,3,40,0,0,8,8
6/23,604,96,165,146,0,2,76,6,0,30,0,0,3,0,31,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,38,1,7,0,3,40,0,0,9,7
6/24,606,97,165,149,0,2,76,6,0,30,0,0,3,0,32,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,38,1,7,0,3,40,0,0,7,8
6/25,607,97,167,150,0,2,75,6,0,30,0,0,3,0,32,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,39,1,7,0,3,40,0,0,4,7
6/26,610,97,168,152,0,2,75,6,0,30,0,0,3,0,32,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,39,1,7,0,3,40,0,0,6,7
6/27,610,97,168,152,0,2,75,6,0,30,0,0,3,0,32,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,39,1,7,0,3,40,0,0,0,7
6/28,610,98,170,154,0,2,79,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,39,1,7,0,3,40,0,0,10,7
6/29,610,101,171,158,0,2,82,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,40,1,7,0,3,40,0,0,12,7
